Student ID, Group
A10886193, 1
A11263591, 1
A10796746, 1
A11319022, 1
A12084166, 2
A12466893, 2
A12395055, 2
A12273150, 2
A11619384, 3
A11701803, 3
A10713613, 3
A11225292, 3
A10647737, 4
A11491217, 4
A98048483, 4
A11338422, 4
A10855132, 5
A98029477, 5
A98085307, 5
A12415880, 5
A10657395, 6
A98099877, 6
A10137384, 6
A99048469, 6
A10581273, 7
A11359537, 7
A10731005, 7
A10631289, 7
A11858812, 8
A10741982, 8
A11362134, 8
A12453295, 8
A10889904, 9
A10958235, 9
A10633081, 9
A12032046, 9
A11287827, 10
A11297227, 10
A12465070, 10
A11442447, 10
A10215236, 11
A10668052, 11
A10562373, 11
A12436210, 11
A10805868, 12
A99112499, 12
A91416089, 12
A11174113, 12
A98008648, 13
A12067598, 13
A10732543, 13
A10237537, 13
A12479964, 14
A11741606, 14
A10751137, 14
A12443505, 14
A11341491, 15
A11628584, 15
A11331216, 15
A12452574, 15
A10950038, 16
A11308554, 16
A94071932, 16
A98040704, 16
A11215286, 17
A10642725, 17
A11953709, 17
A91413217, 17
A10886858, 18
A12460076, 18
A11175535, 18
A97080086, 19
A11419462, 19
A10164270, 19
A10749427, 20
A11758442, 20
A12013123, 20
A11628230, 21
A10816532, 21
A11390688, 21
A12416386, 22
A10796682, 22
A12447250, 22
A11611332, 23
A10776482, 23
A11641634, 23
A10905611, 24
A07135651, 24
A99094262, 24
A11218320, 25
A98098012, 25
A12495134, 25
A11419976, 26
A11472989, 26
A11206452, 26
A11371226, 27
A10851046, 27
A11312945, 27
A11621760, 28
A12013137, 28
A99004346, 28
A12420176, 29
A99036785, 29
A12467030, 29
A12028403, 30
A98072868, 30
A11212746, 30
A10748387, 31
A11496602, 31
A10552982, 31
A98071816, 32
A12460281, 32
A98053566, 32
A11365487, 33
A10701354, 33
A10742893, 33
A11780046, 34
A10938989, 34
A10615747, 34
A12444706, 35
A11467014, 35
A10573610, 35
A12380034, 36
A11232313, 36
A12481954, 36
A11717425, 37
A11242408, 37
A11373490, 37
A11437240, 38
A12461149, 38
A11681899, 38
A12393448, 39
A09999946, 39
A10693090, 39
A12432076, 40
A12453711, 40
A11241720, 40
A11294629, 41
A11305121, 41
A12000875, 41
A10889054, 42
A99080055, 42
A10782910, 42
A12370776, 43
A11674365, 43
