Student ID, Group
----------------
A91083161, 1
A11887134, 1
A12348191, 1
A14171682, 2
A13124579, 2
A12182735, 2
A12621357, 2
A11953723, 3
A12314205, 3
A12000073, 3
A91052570, 3
A12044716, 4
A12013160, 4
A12987182, 4
A91024710, 4
A11884198, 5
A11847263, 5
A12050040, 5
A13207571, 5
A92063426, 6
A91061243, 6
A12036969, 6
A13126024, 6
A12211889, 7
A12783370, 7
A10673419, 7
A12624291, 7
A13533001, 8
A11869664, 8
A11963312, 8
A12160844, 8
A12030564, 9
A12682900, 9
A91103465, 9
A12096740, 9
A11938455, 10
A91070241, 10
A92109744, 10
A13411823, 10
A10741472, 11
A13118569, 11
A13639980, 11
A11962307, 11
A14272771, 12
A12679514, 12
A12131175, 12
A11192711, 12
A11450244, 13
A12086281, 13
A12787651, 13
A11995570, 13
A12382001, 14
A11905632, 14
A12297358, 14
A92042946, 14
A13192891, 15
A91046735, 15
A12079372, 15
A92047564, 15
A12463741, 16
A91009904, 16
A12147973, 16
A12056217, 16
A12328208, 17
A12090159, 17
A13074121, 17
A12768844, 17
A11975857, 18
A12220040, 18
A13201355, 18
A08649460, 18
A13224570, 19
A91082604, 19
A13167684, 19
A12135142, 19
A13034920, 20
A12097936, 20
A12893324, 20
A91115104, 20
A92418383, 21
A91105747, 21
A09849491, 21
A91060570, 21
A14209735, 22
A12712412, 22
A12070057, 22
A12928060, 22
A11186574, 23
A11862640, 23
A11905002, 23
A12055777, 23
A91041284, 24
A12000039, 24
A12597535, 24
A11424354, 24
A13186504, 25
A12255272, 25
A12785653, 25
A12303180, 25
A11934971, 26
A12042160, 26
A11990995, 26
A12350465, 26
A91024714, 27
A11715782, 27
A12812622, 27
A10903461, 27
A11894118, 28
A12919292, 28
A91083863, 28
A12056382, 28
A13022573, 29
A13012758, 29
A92072370, 29
A10883418, 29
A11949221, 30
A12384426, 30
A11921369, 30
A99075279, 30
A91081886, 31
A12390887, 31
A11986840, 31
A11967096, 31
A12920758, 32
A12316936, 32
A12316256, 32
A12069757, 32
A12955287, 33
A12428697, 33
A12067610, 33
A92072260, 33
A91068023, 34
A12984219, 34
A12777314, 34
A12873767, 34
A12314182, 35
A12649645, 35
A12009049, 35
A12591346, 35
A12218123, 36
A12668532, 36
A91081419, 36
A12019534, 36
A92090168, 37
A12363748, 37
A12410478, 37
A12096609, 37
A12008027, 38
A92147940, 38
A10788728, 38
A12333075, 38
A91032550, 39
A11957761, 39
A13014263, 39
A12322678, 39
A12615043, 40
A11994075, 40
A12929855, 40
A12068384, 40
A92103498, 41
A14181130, 41
A13097514, 41
A91145325, 42
A92020152, 42
A12010112, 42
A12226234, 43
A11903006, 43
A12048193, 43
A11497701, 44
A12237239, 44
A12144782, 44
A12814827, 45
A12167795, 45
A12753038, 45
A12211276, 46
A12282240, 46
A12138344, 46
A12452657, 47
A12845395, 47
